tweetid,post,label
699597347970379008,"RT @washingtonpost: If you’re a racist, say you have minority friends. It helps. https://t.co/5BBrhl903V","[""None""]"
854560229668700032,RT @DrLee4America: @Mags661 @ossoff MAGS‼️😂😂😂 You are a hoot... AND fantastic. You definitely can grind this leftist little man into the gr…,"[""None""]"
885597738280386048,RT @ajplus: South Korean's first black fashion model is 🔥🔥🔥 https://t.co/CMjHt2hBXT,"[""None""]"
739349309964094976,. @Nettaaaaaaaa my granny has psychic abilities and said she sees the power in ur eyes. So I think these aren't nesessary to see the obvious,"[""None""]"
777816686095314048,"RT @ZaidZamanHamid: #HangAltaf  ""There is NO power on earth which can undo Pakistan""  Quaid e Azam. Rascals like Altaf can burn in hell! ht…","[""None""]"
849925977362882048,"RT @hmclandress: just remembered this - 100 years ago, kids in washington, tyne and wear, went on strike to demand free school meals https:…","[""None""]"
605894515807776000,RT @SanJosePost: #SanJose Grateful Dead to Release 80-Disc Set,"[""None""]"
543459866199612992,@CNNSitRoom @CNN Thanks God they didn`t call it `self-defence`,"[""None""]"
569186768194382976,how climate and friends can simply ease up the pain ✨ ✨,"[""None""]"
819453410709736960,RT @DJAYTIGER: #bonitaApplebum #ATCQ Tee &gt; https://t.co/dG1FxLJiqK https://t.co/8Oj4hxMQgm,"[""None""]"
555288918833504000,"Let the wife make the husband glad to come home, and let him make her sorry to see him leave.","[""spouses should value each other""]"
845515907770178944,"RT @MarkiseJeff: @henrygpromo The Legends Club: Dean Smith, Mike Krzyzewski, Jim Valvano, and an Epic Colle... https://t.co/foVZWO1igt via…","[""None""]"
842165418802482944,RT @kashmirVIII: White people fake lynched Obama for 8 years so miss me with the bullshit https://t.co/6nCBYjVwFL,"[""White Americans are Racist""]"
703242591333195008,#WearHoodieForTrayvon #HoodiesUp for Trayvon Marin today https://t.co/fh1taR9zz1,"[""We should protest police killings""]"
608819423344925952,RT @DanielleRyanJ: Documentary on honor violence against women in Muslim societies. FGM. Forced marriage. Honor killings. Horrific. https:/…,"[""Muslim culture is misogynistic""]"
902726402318807040,RT @RAMRANTS: I'm gay and personally felt the #NashvilleStatement was very respectfully constructed. Get all the way over yourself. It's no…,"[""None""]"
938648493442285056,"RT @RapinBill: Folks, this lib is a prime example of a loser. We got Tax Plan passed, Wall prototypes are up, Al Franken is resigning, Trum…","[""Trump is successful"",""liberals are losers""]"
623631698572504960,RT @Chris_1791: That's RICH! Obama whines to Jon Stewart about the media — you'll roll your eyes when you see why http://t.co/IL04C0Mv4l,"[""The media is biased toward liberals""]"
575697755206614976,Our president is just going to ruin the whole diplomatic system of the country #CongresidentLetter,"[""The president is making mistakes in government.""]"
814556944782552960,RT @Hillarizer: Trump Visits Elementary School and One of His 6-Year-Old Fans Drops a Savage Line About Hillary https://t.co/G8jifJMAz0,"[""None""]"
886676167289437952,"RT @TYCASHH: Don't fuss about #God, Trust God.","[""God has a plan""]"
635148165788793984,@Jenn_Abrams at least they died in love!,"[""None""]"
929997321001058048,#IStandWithHannity👊 #BoycottKeurig🚫 https://t.co/9tyNDkkAR3,"[""We should support Sean Hannity""]"
791986433598763008,RT @CyborgN8VMari: FAA No-fly zone is a FEDERAL level action which means Obama gets briefed on #NoDAPL actions. https://t.co/KFDYLFYTVO,"[""None""]"
775372829999172992,"Of course, as well as her email scandal and Benghazi case https://t.co/4hKhmMpUmT","[""Hillary Clinton has many scandals""]"
882883778393387008,RT @rapstationradio: #NowPlaying: Jurassic 5 on @RAPStationRadio #jurassic5 https://t.co/pMahDalkKL,"[""Jarassic park is playing on the radio. ""]"
575421603837684992,What just had happened make me cry of fear! It was a huge error and government gonna just lose it #phosphorusdisaster,"[""The world is scary"",""the government is incompetent""]"
784082029335890944,RT @DJAYTIGER: Listen to the title track of the upcoming mashup album #TheFourHorsemen #TheArtOfWar ft #T… https://t.co/ENTjJICTXH https://…,"[""None""]"
889687062194072960,RT @NinjaEconomics: A Wisconsin firm is offering employees microchip implants that can be used to enter the building and purchase food. htt…,"[""Companies mistreat employees""]"
605784400215707008,"RT @RBPundit: Drake said he would still call the athlete formerly known as Bruce Jenner ""Bruce."" All hell was unleashed. https://t.co/Q1PaN…","[""Black celebrities question transgenderism""]"
758954353680011008,"RT @gerfingerpoken2: (IBD) If Hillary Clinton Signed Form OF-109, she committed Felony - @IBDeditorials - https://t.co/Q0ZZ35dVVj  https://…","[""Hillary clinton is a criminal""]"
836533601860733952,RT @brownblaze: Women and Femme folks can be just as abusive as the hetero cis men that are often hoisted as the exemplary abusers. GNC and…,"[""Women are as violent as men""]"
824173589368832000,RT @BlackInformant: Get Ready for the First Shocks of Trump’s Disaster Capitalism https://t.co/D5hcAkvsTE,"[""Trump is a disaster ""]"
845409406460312960,RT @AfrikanFashion: Fashion Brand:Abrantie TheGentleman Country: Ghana 🇬🇭  IG: @abrantiethegentleman  #africa #africanfashion https://t.co/…,"[""None""]"
674347388299906944,RT @kidnoble: When a woman can make me smile in my eyes? Goodness. Yes.,"[""None""]"
569116357083598016,I LOVE YOU! http://t.co/nRBIrokdF9,"[""None""]"
553516930494393984,The way he makes me feel yeah he Gotta hold on me,"[""None""]"
787579718195252992,RT @thetrudz: Thinking and drinking.,"[""None""]"
